feature_ID	captured_region_size_bp	median_feature_CN	max_feature_CN	borderline_flag
ESO26_amplicon1_BFB_1	2532421	5.031071353700711	5.031071353700711	LowCN
ESO26_amplicon2_BFB_1	2020004	5.388892778949169	5.388892778949169	LowCN
ESO26_amplicon3_Complex non-cyclic_1	3514631	5.694690609435769	6.134792395860982	None
ESO26_amplicon4_BFB_1	6421715	6.820153734381607	9.299053003212622	None
ESO26_amplicon5_BFB_1	1003433	19.823465755462504	46.835720558828456	None
ESO51_amplicon1_Complex non-cyclic_1	6411775	8.741028788374422	35.927973888235556	None
ESO51_amplicon2_Linear amplification_1	3030072	5.426528901471921	5.426528901471921	None
ESO51_amplicon3_Complex non-cyclic_1	1133644	4.8126057432209395	21.343545889730226	None
ESO51_amplicon4_ecDNA_1	74459	6.428407794859	7.217044195394679	LowCN
ESO51_amplicon5_Complex non-cyclic_1	1419281	6.187012677720055	18.314654798475086	None
ESO51_amplicon6_BFB_1	1322051	17.663883485497255	17.663883485497255	None
ESO51_amplicon7_Linear amplification_1	119716	6.4181118749828885	6.4181118749828885	None
ESO51_amplicon8_Linear amplification_1	89989	6.022062281781403	6.022062281781403	None
ESO51_amplicon9_ecDNA_1	5164745	7.491971114608349	9.59476633124432	None
FLO-1_amplicon1_Complex non-cyclic_1	3951464	5.591770354012752	7.706659521085718	None
FLO-1_amplicon2_Linear amplification_1	134998	4.830316972518912	4.830316972518913	LowCN
FLO-1_amplicon3_ecDNA_1	154133	4.875774655726435	4.875774655726435	LowCN
FLO-1_amplicon4_ecDNA_1	240327	5.397767327946513	5.397767327946513	LowCN
JH-EsoAd1_amplicon1_Complex non-cyclic_1	2968394	12.109468499743066	16.58726684672552	None
JH-EsoAd1_amplicon2_ecDNA_1	119398	4.977916753171078	8.184656855640497	None
JH-EsoAd1_amplicon3_ecDNA_1	4117865	18.66503359430104	19.87754226477748	None
JH-EsoAd1_amplicon4_ecDNA_1	217998	11.020319796243008	12.23780765294106	None
JH-EsoAd1_amplicon5_ecDNA_1	2191219	6.770292724361539	9.220483727517632	None
JH-EsoAd1_amplicon5_ecDNA_2	2232415	7.076338935910476	102.05594924461744	None
OACM5.1_amplicon1_ecDNA_1	6542072	4.875136520781019	11.21245913342598	None
OACP4-C_amplicon10_ecDNA_1	119455	4.94802598626661	4.94802598626661	LowCN
OACP4-C_amplicon11_Complex non-cyclic_1	2825667	8.376440869804672	11.671046873801796	None
OACP4-C_amplicon12_ecDNA_1	478021	7.021558026976506	14.944906790460248	None
OACP4-C_amplicon13_ecDNA_1	333627	5.653531809257598	7.272131029903994	LowCN
OACP4-C_amplicon14_ecDNA_1	1987960	6.717470990062701	9.875378621323653	None
OACP4-C_amplicon15_Complex non-cyclic_1	1380527	7.352700434030835	7.390377169847361	None
OACP4-C_amplicon16_Linear amplification_1	115001	5.670273229580602	7.313004221743414	None
OACP4-C_amplicon17_ecDNA_1	114155	6.17133511912983	6.17133511912983	LowCN
OACP4-C_amplicon18_ecDNA_1	292388	5.669272606487332	5.669272606487332	LowCN
OACP4-C_amplicon19_Linear amplification_1	105004	5.298626637118874	5.439910976818806	None
OACP4-C_amplicon1_ecDNA_1	531837	6.32817852059679	7.924595966051388	LowCN
OACP4-C_amplicon20_ecDNA_1	998445	5.932220527722416	12.705715638551897	None
OACP4-C_amplicon21_Linear amplification_1	280007	5.814940770026611	5.814940770026611	None
OACP4-C_amplicon22_Linear amplification_1	509892	5.4402204341179745	9.781537552777309	None
OACP4-C_amplicon23_ecDNA_1	62772	5.857985036403929	5.857985036403929	LowCN
OACP4-C_amplicon24_ecDNA_1	1051923	5.549261244681227	9.18906929137306	None
OACP4-C_amplicon25_Linear amplification_1	1065585	9.804165153106988	9.804165153106988	None
OACP4-C_amplicon26_ecDNA_1	186098	6.728496074225177	6.728496074225177	LowCN
OACP4-C_amplicon27_ecDNA_1	309126	8.256409662102337	10.10075801146324	None
OACP4-C_amplicon2_ecDNA_1	806549	7.272384750524496	13.227001084166858	None
OACP4-C_amplicon3_ecDNA_1	128355	5.541423917969513	5.541423917969513	LowCN
OACP4-C_amplicon4_ecDNA_1	139732	5.648878345894416	5.648878345894416	LowCN
OACP4-C_amplicon5_ecDNA_1	192644	6.037105584064188	6.037105584064188	LowCN
OACP4-C_amplicon6_Linear amplification_1	629941	7.4348614620705815	7.4348614620705815	None
OACP4-C_amplicon7_ecDNA_1	202788	5.905739640287062	7.01394936820873	LowCN
OACP4-C_amplicon8_ecDNA_1	839297	13.610331078371159	18.075529042996695	None
OACP4-C_amplicon9_ecDNA_1	264279	5.744705853118327	5.744705853118327	LowCN
OE33_amplicon1_ecDNA_1	7047267	11.311169844207724	13.244657309188234	None
OE33_amplicon2_Linear amplification_1	55001	5.778905917961555	5.778905917961555	None
OE33_amplicon3_ecDNA_1	666871	7.463150516274534	7.463150516274534	LowCN
OE33_amplicon4_BFB_1	2339962	12.700890829711831	39.00133759443365	None
SK-GT-4_amplicon1_Linear amplification_1	231072	5.455411575382751	7.4898147737308784	None
SK-GT-4_amplicon2_Complex non-cyclic_1	5745533	8.869419220173317	11.151947911326653	None
