sample	amplicon	feature	total_feature_entropy	decomp_entropy	Amp_nseg_entropy
ESO26	amplicon1	BFB_1	3.483711219429696	0.998804569641696	2.4849066497880004
ESO26	amplicon2	BFB_1	2.1852613709925306	0.5758234585584305	1.6094379124341003
ESO26	amplicon3	Complex non-cyclic_1	4.856668840562224	1.4554714589000688	3.4011973816621555
ESO26	amplicon4	BFB_1	4.330030581685209	0.9627347516987355	3.367295829986474
ESO26	amplicon5	BFB_1	4.488017954128582	1.192181088124252	3.295836866004329
ESO51	amplicon1	Complex non-cyclic_1	4.509274205009463	1.2134373390051345	3.295836866004329
ESO51	amplicon2	Linear amplification_1	2.242730344169568	0.6332924317354676	1.6094379124341003
ESO51	amplicon3	Complex non-cyclic_1	5.514831699002321	1.602808693574175	3.912023005428146
ESO51	amplicon4	ecDNA_1	1.9027709845100196	0.29333307207591924	1.6094379124341003
ESO51	amplicon5	Complex non-cyclic_1	5.726298330649414	1.8344780325387875	3.891820298110627
ESO51	amplicon6	BFB_1	3.620458542252437	1.1355518924644366	2.4849066497880004
ESO51	amplicon7	Linear amplification_1	1.057354550258623	0.36420736969867773	0.6931471805599453
ESO51	amplicon8	Linear amplification_1	1.033113717420383	0.33996653686043776	0.6931471805599453
ESO51	amplicon9	ecDNA_1	2.6579746947914518	0.3553896017974065	2.3025850929940455
FLO-1	amplicon1	Complex non-cyclic_1	3.79576340792692	0.617709577578974	3.1780538303479458
FLO-1	amplicon2	Linear amplification_1	1.686954163255013	0.3006598021351224	1.3862943611198906
FLO-1	amplicon3	ecDNA_1	0.31640977765463535	0.31640977765463535	-0.0
FLO-1	amplicon4	ecDNA_1	0.31853543669293	0.31853543669293	-0.0
JH-EsoAd1	amplicon1	Complex non-cyclic_1	4.310985164758986	0.9097877830968306	3.4011973816621555
JH-EsoAd1	amplicon2	ecDNA_1	3.288404835764937	0.6493475061496785	2.639057329615259
JH-EsoAd1	amplicon3	ecDNA_1	4.845018442410593	1.1561389882966566	3.6888794541139363
JH-EsoAd1	amplicon4	ecDNA_1	2.702139843005156	0.21723319321715576	2.4849066497880004
JH-EsoAd1	amplicon5	ecDNA_1	4.027805949651973	0.8497521193040268	3.1780538303479458
JH-EsoAd1	amplicon5	ecDNA_2	3.6867834492668172	0.7423444701003765	2.9444389791664407
OACM5.1	amplicon1	ecDNA_1	4.306384970504197	1.0105481044998683	3.295836866004329
OACP4-C	amplicon1	ecDNA_1	3.7013029734806784	0.868089629424462	2.833213344056216
OACP4-C	amplicon10	ecDNA_1	0.18121844640063686	0.18121844640063686	-0.0
OACP4-C	amplicon11	Complex non-cyclic_1	5.496766312594104	1.8332046664644586	3.6635616461296463
OACP4-C	amplicon12	ecDNA_1	3.045153522540851	0.6472582497424804	2.3978952727983707
OACP4-C	amplicon13	ecDNA_1	2.5841761077634624	0.2815910147694167	2.3025850929940455
OACP4-C	amplicon14	ecDNA_1	2.1557714344961934	0.3640119652681385	1.791759469228055
OACP4-C	amplicon15	Complex non-cyclic_1	2.4412172366460547	0.36177569496621875	2.0794415416798357
OACP4-C	amplicon16	Linear amplification_1	1.8795265499065912	0.49323218878670066	1.3862943611198906
OACP4-C	amplicon17	ecDNA_1	0.26083980239855237	0.26083980239855237	-0.0
OACP4-C	amplicon18	ecDNA_1	0.2460149335059247	0.2460149335059247	-0.0
OACP4-C	amplicon19	Linear amplification_1	0.7453974642773223	0.05225028371737705	0.6931471805599453
OACP4-C	amplicon2	ecDNA_1	3.272108774926501	0.6330514453112424	2.639057329615259
OACP4-C	amplicon20	ecDNA_1	2.770447506282469	0.6910059646026332	2.0794415416798357
OACP4-C	amplicon21	Linear amplification_1	1.7528877138307772	0.36659335271088667	1.3862943611198906
OACP4-C	amplicon22	Linear amplification_1	4.427272580636764	1.382750142913341	3.044522437723423
OACP4-C	amplicon23	ecDNA_1	0.21999026846938352	0.21999026846938352	-0.0
OACP4-C	amplicon24	ecDNA_1	2.966291031950434	0.5683957591520632	2.3978952727983707
OACP4-C	amplicon25	Linear amplification_1	2.5617830222816806	0.6158728732263674	1.9459101490553135
OACP4-C	amplicon26	ecDNA_1	0.18462054097322972	0.18462054097322972	-0.0
OACP4-C	amplicon27	ecDNA_1	2.8953826841161523	0.592797591122107	2.3025850929940455
OACP4-C	amplicon3	ecDNA_1	2.0818908978532575	0.695596536733367	1.3862943611198906
OACP4-C	amplicon4	ecDNA_1	0.3448938809703611	0.3448938809703611	-0.0
OACP4-C	amplicon5	ecDNA_1	0.24104364747015208	0.24104364747015208	-0.0
OACP4-C	amplicon6	Linear amplification_1	0.8797594459145037	0.18661226535455844	0.6931471805599453
OACP4-C	amplicon7	ecDNA_1	2.1307297419124986	0.33897027268444374	1.791759469228055
OACP4-C	amplicon8	ecDNA_1	3.323706054205967	0.684648724590708	2.639057329615259
OACP4-C	amplicon9	ecDNA_1	2.1112781496205217	0.7249837885006313	1.3862943611198906
OE33	amplicon1	ecDNA_1	3.126316686206887	0.23594492831072203	2.890371757896165
OE33	amplicon2	Linear amplification_1	0.0	0	-0.0
OE33	amplicon3	ecDNA_1	1.355663202434733	0.2570509137666233	1.0986122886681098
OE33	amplicon4	BFB_1	4.7104817787207445	1.4523852406992628	3.258096538021482
SK-GT-4	amplicon1	Linear amplification_1	3.1923017135406955	0.5532443839254368	2.639057329615259
SK-GT-4	amplicon2	Complex non-cyclic_1	5.521254771371637	1.5894291386473112	3.9318256327243257
