sample_name	amplicon_number	feature	gene	gene_cn	truncated	is_canonical_oncogene
JH-EsoAd1	amplicon1	Complex non-cyclic_1	AIFM3	12.92855757633338	None	False
JH-EsoAd1	amplicon1	Complex non-cyclic_1	ARVCF	12.109468499743066	None	False
JH-EsoAd1	amplicon1	Complex non-cyclic_1	BCRP2	12.92855757633338	None	False
JH-EsoAd1	amplicon1	Complex non-cyclic_1	C22orf39	12.109468499743066	None	False
JH-EsoAd1	amplicon1	Complex non-cyclic_1	CCDC116	16.58726684672552	None	False
JH-EsoAd1	amplicon1	Complex non-cyclic_1	CCDC188	12.109468499743066	None	False
JH-EsoAd1	amplicon1	Complex non-cyclic_1	CDC45	12.109468499743066	None	False
JH-EsoAd1	amplicon1	Complex non-cyclic_1	CLDN5	12.109468499743066	None	False
JH-EsoAd1	amplicon1	Complex non-cyclic_1	CLTCL1	12.109468499743066	None	True
JH-EsoAd1	amplicon1	Complex non-cyclic_1	COMT	12.109468499743066	None	False
JH-EsoAd1	amplicon1	Complex non-cyclic_1	CRKL	12.92855757633338	None	True
JH-EsoAd1	amplicon1	Complex non-cyclic_1	DGCR10	12.109468499743066	None	False
JH-EsoAd1	amplicon1	Complex non-cyclic_1	DGCR11	12.109468499743066	None	False
JH-EsoAd1	amplicon1	Complex non-cyclic_1	DGCR2	12.109468499743066	None	False
JH-EsoAd1	amplicon1	Complex non-cyclic_1	DGCR5	12.109468499743066	None	False
JH-EsoAd1	amplicon1	Complex non-cyclic_1	DGCR6L	13.71704438254663	None	False
JH-EsoAd1	amplicon1	Complex non-cyclic_1	DGCR8	12.109468499743066	None	False
JH-EsoAd1	amplicon1	Complex non-cyclic_1	DGCR9	12.109468499743066	None	False
JH-EsoAd1	amplicon1	Complex non-cyclic_1	ESS2	12.109468499743066	None	False
JH-EsoAd1	amplicon1	Complex non-cyclic_1	FAM230B	12.92855757633338	None	False
JH-EsoAd1	amplicon1	Complex non-cyclic_1	FAM230G	13.71704438254663	None	False
JH-EsoAd1	amplicon1	Complex non-cyclic_1	FAM230H	8.753040754420294	5p	False
JH-EsoAd1	amplicon1	Complex non-cyclic_1	GGT2	8.753040754420294	None	False
JH-EsoAd1	amplicon1	Complex non-cyclic_1	GNB1L	12.109468499743066	None	False
JH-EsoAd1	amplicon1	Complex non-cyclic_1	GP1BB	12.109468499743066	None	False
JH-EsoAd1	amplicon1	Complex non-cyclic_1	GSC2	12.109468499743066	None	False
JH-EsoAd1	amplicon1	Complex non-cyclic_1	HIC2	10.150827562450132	None	False
JH-EsoAd1	amplicon1	Complex non-cyclic_1	HIRA	12.109468499743066	None	False
JH-EsoAd1	amplicon1	Complex non-cyclic_1	KLHL22	13.71704438254663	None	False
JH-EsoAd1	amplicon1	Complex non-cyclic_1	LRRC74B	12.92855757633338	None	False
JH-EsoAd1	amplicon1	Complex non-cyclic_1	LZTR1	12.92855757633338	None	False
JH-EsoAd1	amplicon1	Complex non-cyclic_1	MAPK1	15.79878004051227	5p	False
JH-EsoAd1	amplicon1	Complex non-cyclic_1	MED15	13.71704438254663	None	False
JH-EsoAd1	amplicon1	Complex non-cyclic_1	MRPL40	12.109468499743066	None	False
JH-EsoAd1	amplicon1	Complex non-cyclic_1	P2RX6	12.92855757633338	None	False
JH-EsoAd1	amplicon1	Complex non-cyclic_1	P2RX6P	12.92855757633338	None	False
JH-EsoAd1	amplicon1	Complex non-cyclic_1	PI4KA	12.92855757633338	None	False
JH-EsoAd1	amplicon1	Complex non-cyclic_1	PI4KAP2	10.150827562450132	None	False
JH-EsoAd1	amplicon1	Complex non-cyclic_1	POM121L4P	13.71704438254663	None	False
JH-EsoAd1	amplicon1	Complex non-cyclic_1	POM121L8P	8.753040754420294	None	False
JH-EsoAd1	amplicon1	Complex non-cyclic_1	PPIL2	16.58726684672552	None	False
JH-EsoAd1	amplicon1	Complex non-cyclic_1	PRODH	7.32034634246251	3p	False
JH-EsoAd1	amplicon1	Complex non-cyclic_1	RANBP1	12.109468499743066	None	False
JH-EsoAd1	amplicon1	Complex non-cyclic_1	RIMBP3B	10.150827562450132	None	False
JH-EsoAd1	amplicon1	Complex non-cyclic_1	RIMBP3C	10.150827562450132	None	False
JH-EsoAd1	amplicon1	Complex non-cyclic_1	RTL10	12.109468499743066	None	False
JH-EsoAd1	amplicon1	Complex non-cyclic_1	RTN4R	13.64106343339845	None	False
JH-EsoAd1	amplicon1	Complex non-cyclic_1	SCARF2	13.71704438254663	None	False
JH-EsoAd1	amplicon1	Complex non-cyclic_1	SDF2L1	16.58726684672552	None	False
JH-EsoAd1	amplicon1	Complex non-cyclic_1	SEPT5-GP1BB	12.109468499743066	None	False
JH-EsoAd1	amplicon1	Complex non-cyclic_1	SEPTIN5	12.109468499743066	None	False
