feature_ID	captured_region_size_bp	median_feature_CN	max_feature_CN
OACP4-C_amplicon10_ecDNA_1	119455	4.94802598626661	4.94802598626661
OACP4-C_amplicon11_Complex non-cyclic_1	2825667	8.376440869804672	11.671046873801796
OACP4-C_amplicon12_ecDNA_1	478021	7.021558026976506	14.944906790460248
OACP4-C_amplicon13_ecDNA_1	333627	5.653531809257598	7.272131029903994
OACP4-C_amplicon14_ecDNA_1	1987960	6.717470990062701	9.875378621323653
OACP4-C_amplicon15_Complex non-cyclic_1	1380527	7.352700434030835	7.390377169847361
OACP4-C_amplicon16_Linear amplification_1	115001	5.670273229580602	7.313004221743414
OACP4-C_amplicon17_ecDNA_1	114155	6.17133511912983	6.17133511912983
OACP4-C_amplicon18_ecDNA_1	292388	5.669272606487332	5.669272606487332
OACP4-C_amplicon19_Linear amplification_1	105004	5.298626637118874	5.439910976818806
OACP4-C_amplicon1_ecDNA_1	531837	6.32817852059679	7.924595966051388
OACP4-C_amplicon20_ecDNA_1	998445	5.932220527722416	12.705715638551897
OACP4-C_amplicon21_Linear amplification_1	280007	5.814940770026611	5.814940770026611
OACP4-C_amplicon22_Linear amplification_1	509892	5.4402204341179745	9.781537552777309
OACP4-C_amplicon23_ecDNA_1	62772	5.857985036403929	5.857985036403929
OACP4-C_amplicon24_ecDNA_1	1051923	5.549261244681227	9.18906929137306
OACP4-C_amplicon25_Linear amplification_1	1065585	9.804165153106988	9.804165153106988
OACP4-C_amplicon26_ecDNA_1	186098	6.728496074225177	6.728496074225177
OACP4-C_amplicon27_ecDNA_1	309126	8.256409662102337	10.10075801146324
OACP4-C_amplicon2_ecDNA_1	806549	7.272384750524496	13.227001084166858
OACP4-C_amplicon3_ecDNA_1	128355	5.541423917969513	5.541423917969513
OACP4-C_amplicon4_ecDNA_1	139732	5.648878345894416	5.648878345894416
OACP4-C_amplicon5_ecDNA_1	192644	6.037105584064188	6.037105584064188
OACP4-C_amplicon6_Linear amplification_1	629941	7.4348614620705815	7.4348614620705815
OACP4-C_amplicon7_ecDNA_1	202788	5.905739640287062	7.01394936820873
OACP4-C_amplicon8_ecDNA_1	839297	13.610331078371159	18.075529042996695
OACP4-C_amplicon9_ecDNA_1	264279	5.744705853118327	5.744705853118327
