sample_name	amplicon_number	feature	gene	gene_cn	truncated	is_canonical_oncogene
OACP4-C	amplicon10	ecDNA_1	AGR2	4.94802598626661	None	False
OACP4-C	amplicon10	ecDNA_1	AGR3	4.94802598626661	5p	False
OACP4-C	amplicon10	ecDNA_1	TSPAN13	4.94802598626661	5p	False
OACP4-C	amplicon11	Complex non-cyclic_1	ADAM22	5.50542089408355	5p	False
OACP4-C	amplicon11	Complex non-cyclic_1	ASB4	8.376440869804672	None	False
OACP4-C	amplicon11	Complex non-cyclic_1	CDK14	10.078107263108999	3p	True
OACP4-C	amplicon11	Complex non-cyclic_1	CLDN12	8.660929962198834	None	False
OACP4-C	amplicon11	Complex non-cyclic_1	DYNC1I1	8.376440869804672	3p	False
OACP4-C	amplicon11	Complex non-cyclic_1	GTPBP10	5.27839824457004	5p	False
OACP4-C	amplicon11	Complex non-cyclic_1	PDK4	8.376440869804672	None	False
OACP4-C	amplicon11	Complex non-cyclic_1	PON1	8.376440869804672	None	False
OACP4-C	amplicon11	Complex non-cyclic_1	PON2	8.376440869804672	None	False
OACP4-C	amplicon11	Complex non-cyclic_1	PON3	8.376440869804672	None	False
OACP4-C	amplicon11	Complex non-cyclic_1	PPP1R9A	8.376440869804672	None	False
OACP4-C	amplicon11	Complex non-cyclic_1	SRI	5.50542089408355	None	False
OACP4-C	amplicon11	Complex non-cyclic_1	STEAP2-AS1	7.332524913365317	5p	False
OACP4-C	amplicon11	Complex non-cyclic_1	STEAP4	7.855961028105896	None	False
OACP4-C	amplicon12	ecDNA_1	ABCB8	7.021558026976506	None	False
OACP4-C	amplicon12	ecDNA_1	ABCF2	7.021558026976506	None	False
OACP4-C	amplicon12	ecDNA_1	AGAP3	7.021558026976506	None	False
OACP4-C	amplicon12	ecDNA_1	ASB10	7.021558026976506	None	False
OACP4-C	amplicon12	ecDNA_1	ASIC3	7.021558026976506	None	False
OACP4-C	amplicon12	ecDNA_1	ATG9B	7.021558026976506	None	False
