sample_name	amplicon_number	feature	gene	gene_cn	truncated	is_canonical_oncogene
ESO51	amplicon1	Complex non-cyclic_1	ASZ1	35.8253566918787	None	False
ESO51	amplicon1	Complex non-cyclic_1	BMT2	7.2910824458373265	None	False
ESO51	amplicon1	Complex non-cyclic_1	CAPZA2	35.8253566918787	None	False
ESO51	amplicon1	Complex non-cyclic_1	CAV1	35.8253566918787	None	True
ESO51	amplicon1	Complex non-cyclic_1	CAV2	27.569302966926927	None	False
ESO51	amplicon1	Complex non-cyclic_1	CFTR	35.8253566918787	None	False
ESO51	amplicon1	Complex non-cyclic_1	CFTR-AS1	35.8253566918787	None	False
ESO51	amplicon1	Complex non-cyclic_1	CTTNBP2	35.927973888235556	None	False
ESO51	amplicon1	Complex non-cyclic_1	DOCK4	5.051634148153433	None	False
ESO51	amplicon1	Complex non-cyclic_1	DOCK4-AS1	5.051634148153433	None	False
ESO51	amplicon1	Complex non-cyclic_1	FOXP2	8.946781678616881	None	False
ESO51	amplicon1	Complex non-cyclic_1	GPR85	8.741028788374422	None	False
ESO51	amplicon1	Complex non-cyclic_1	HRAT17	9.126785244017533	None	False
ESO51	amplicon1	Complex non-cyclic_1	IFRD1	5.051634148153433	None	False
ESO51	amplicon1	Complex non-cyclic_1	IMMP2L	5.051634148153433	3p	False
ESO51	amplicon1	Complex non-cyclic_1	LSMEM1	5.051634148153433	None	False
ESO51	amplicon1	Complex non-cyclic_1	MDFIC	23.34036179493673	None	False
ESO51	amplicon1	Complex non-cyclic_1	MET	35.8253566918787	None	True
ESO51	amplicon1	Complex non-cyclic_1	PPP1R3A	8.741028788374422	None	False
ESO51	amplicon1	Complex non-cyclic_1	SMIM30	8.741028788374422	None	False
ESO51	amplicon1	Complex non-cyclic_1	SNORA25B	23.34036179493673	None	False
ESO51	amplicon1	Complex non-cyclic_1	ST7	35.8253566918787	None	False
ESO51	amplicon1	Complex non-cyclic_1	ST7-AS1	35.8253566918787	None	False
ESO51	amplicon1	Complex non-cyclic_1	ST7-AS2	35.8253566918787	None	False
ESO51	amplicon1	Complex non-cyclic_1	ST7-OT3	35.8253566918787	None	False
ESO51	amplicon1	Complex non-cyclic_1	ST7-OT4	35.8253566918787	None	False
ESO51	amplicon1	Complex non-cyclic_1	TES	27.569302966926927	None	False
ESO51	amplicon1	Complex non-cyclic_1	TFEC	27.569302966926927	None	False
ESO51	amplicon1	Complex non-cyclic_1	TMEM168	7.2910824458373265	None	False
ESO51	amplicon1	Complex non-cyclic_1	WNT2	35.8253566918787	None	True
ESO51	amplicon1	Complex non-cyclic_1	ZNF277	5.051634148153433	None	False
ESO51	amplicon2	Linear amplification_1	ACAA1	5.4291759695943185	None	False
