chrom1	pos1	chrom2	pos2	sv_type	read_support	features	orientation	pos1_flanking_coordinate	pos2_flanking_coordinate
chr12	40483127	chr16	27089617	interchromosomal	29	None	-+	40483128	27089616
chr12	40482928	chr12	40484159	foldback	21	BFB	--	40482929	40484160
chr12	40484366	chr16	27089452	interchromosomal	27	None	--	40484367	27089453
chr12	40482922	chr12	40486610	deletion-like	10	None	+-	40482921	40486611
chr12	40488203	chr12	40489819	deletion-like	127	BFB	+-	40488202	40489820
chr12	40484664	chr12	40490475	deletion-like	12	BFB	+-	40484663	40490476
chr12	40505385	chr12	40511211	deletion-like	24	BFB	+-	40505384	40511212
chr12	40503545	chr12	40512390	deletion-like	13	BFB	+-	40503544	40512391
chr12	41037571	chr12	41037571	foldback	10	BFB	++	41037570	41037570
chr12	41844267	chr12	41845075	deletion-like	38	BFB	+-	41844266	41845076
chr12	43087276	chr12	43088542	foldback	8	BFB	--	43087277	43088543
chr12	43168008	chr12	43170975	foldback	4	BFB	++	43168007	43170974
chr12	43583656	chr12	43585746	deletion-like	70	BFB	+-	43583655	43585747
chr12	45509369	chr12	45516156	deletion-like	111	BFB	+-	45509368	45516157
chr12	46896694	chr12	46915968	foldback	71	BFB	--	46896695	46915969
chr12	46896664	chr12	46915974	foldback	83	BFB	++	46896663	46915973
chr12	47891960	chr12	47897075	foldback	14	unknown	--	47891961	47897076
chr12	47984183	chr16	27043606	interchromosomal	61	unknown	+-	47984182	27043607
chr16	27241348	chr16	27244233	foldback	54	unknown	++	27241347	27244232
