sample_name	amplicon_number	feature	gene	gene_cn	truncated	is_canonical_oncogene
ESO26	amplicon1	BFB_1	ARL15	4.825827290464297	None	False
ESO26	amplicon1	BFB_1	FST	5.031071353700711	None	False
ESO26	amplicon1	BFB_1	HSPB3	4.825827290464297	None	False
ESO26	amplicon1	BFB_1	ITGA1	5.031071353700711	None	False
ESO26	amplicon1	BFB_1	ITGA2	5.031071353700711	None	False
ESO26	amplicon1	BFB_1	MOCS2	5.031071353700711	None	False
ESO26	amplicon1	BFB_1	NDUFS4	5.031071353700711	None	False
ESO26	amplicon1	BFB_1	PELO	5.031071353700711	None	False
ESO26	amplicon2	BFB_1	ADO	5.388892778949169	None	False
ESO26	amplicon2	BFB_1	ARID5B	5.388892778949169	None	False
ESO26	amplicon2	BFB_1	CABCOCO1	5.388892778949169	None	False
ESO26	amplicon2	BFB_1	EGR2	5.388892778949169	None	False
ESO26	amplicon2	BFB_1	RTKN2	5.388892778949169	None	False
ESO26	amplicon2	BFB_1	TMEM26	5.388892778949169	None	False
ESO26	amplicon2	BFB_1	TMEM26-AS1	5.388892778949169	None	False
ESO26	amplicon2	BFB_1	ZNF365	5.388892778949169	None	False
ESO26	amplicon3	Complex non-cyclic_1	CCSER2	5.243619789963921	None	False
ESO26	amplicon3	Complex non-cyclic_1	CDHR1	3.5444032158960295	None	False
ESO26	amplicon3	Complex non-cyclic_1	DLG5	5.694690609435769	None	False
ESO26	amplicon3	Complex non-cyclic_1	DLG5-AS1	5.694690609435769	None	False
ESO26	amplicon3	Complex non-cyclic_1	KCNMA1	5.694690609435769	3p	False
ESO26	amplicon3	Complex non-cyclic_1	KCNMA1-AS3	5.694690609435769	None	False
ESO26	amplicon3	Complex non-cyclic_1	LRIT1	3.5444032158960295	None	False
ESO26	amplicon3	Complex non-cyclic_1	LRIT2	3.5444032158960295	None	False
ESO26	amplicon3	Complex non-cyclic_1	POLR3A	5.694690609435769	None	False
ESO26	amplicon3	Complex non-cyclic_1	RGR	3.5444032158960295	None	True
ESO26	amplicon3	Complex non-cyclic_1	RPS24	5.694690609435769	None	False
ESO26	amplicon3	Complex non-cyclic_1	ZMIZ1	6.134792395860982	3p	False
ESO26	amplicon3	Complex non-cyclic_1	ZMIZ1-AS1	5.694690609435769	None	False
ESO26	amplicon4	BFB_1	ADAMTS20	6.836063812355197	None	False
ESO26	amplicon4	BFB_1	ANO6	6.820153734381607	None	False
ESO26	amplicon4	BFB_1	ARID2	6.820153734381603	None	True
ESO26	amplicon4	BFB_1	CNTN1	9.29905300321262	None	False
ESO26	amplicon4	BFB_1	DBX2	6.820153734381607	None	False
ESO26	amplicon4	BFB_1	GXYLT1	5.701487498055876	None	False
ESO26	amplicon4	BFB_1	IRAK4	6.820153734381607	None	False
ESO26	amplicon4	BFB_1	MUC19	9.299053003212622	5p	False
ESO26	amplicon4	BFB_1	NELL2	6.820153734381607	None	False
ESO26	amplicon4	BFB_1	PDZRN4	6.856242676288197	None	False
ESO26	amplicon4	BFB_1	PLEKHA8P1	6.820153734381607	None	False
ESO26	amplicon4	BFB_1	PPHLN1	5.701487498055876	None	False
ESO26	amplicon4	BFB_1	PRICKLE1	5.701487498055876	None	False
ESO26	amplicon4	BFB_1	PUS7L	6.820153734381607	None	False
ESO26	amplicon4	BFB_1	RACGAP1P	6.820153734381607	None	False
ESO26	amplicon4	BFB_1	SCAF11	6.820153734381603	None	False
ESO26	amplicon4	BFB_1	SLC38A1	6.820153734381603	None	False
ESO26	amplicon4	BFB_1	SLC38A2	6.820153734381603	None	False
ESO26	amplicon4	BFB_1	SLC38A4	6.820153734381603	None	False
ESO26	amplicon4	BFB_1	TMEM117	6.820153734381607	None	False
ESO26	amplicon4	BFB_1	TWF1	6.820153734381607	None	False
ESO26	amplicon4	BFB_1	YAF2	5.701487498055876	None	False
ESO26	amplicon4	BFB_1	ZCRB1	5.701487498055876	None	False
ESO26	amplicon4	unknown_1	C16orf82	9.943586404117415	None	False
ESO26	amplicon4	unknown_1	COL2A1	9.99856080522554	None	False
ESO26	amplicon4	unknown_1	IL4R	2.112674909472096	3p	False
ESO26	amplicon4	unknown_1	KDM8	9.592057686944885	None	False
ESO26	amplicon4	unknown_1	NSMCE1	9.592057686944885	None	False
ESO26	amplicon4	unknown_1	NSMCE1-DT	2.112674909472096	None	False
ESO26	amplicon4	unknown_1	SENP1	1.1560509287808851	5p	False
ESO26	amplicon4	unknown_1	TMEM106C	9.99856080522554	None	False
ESO26	amplicon4	unknown_1	VDR	9.99856080522554	3p	False
ESO26	amplicon5	BFB_1	ARHGAP23	19.823465755462504	None	False
ESO26	amplicon5	BFB_1	C17orf98	25.029360904044786	None	False
ESO26	amplicon5	BFB_1	CASC3	26.022319569914384	5p	False
ESO26	amplicon5	BFB_1	CDC6	1.8230638176424456	None	True
ESO26	amplicon5	BFB_1	CISD3	15.848090800672637	None	False
ESO26	amplicon5	BFB_1	CWC25	25.029360904044786	3p	False
ESO26	amplicon5	BFB_1	EPOP	15.848090800672637	None	False
ESO26	amplicon5	BFB_1	ERBB2	28.175612707228332	None	True
ESO26	amplicon5	BFB_1	FBXO47	14.193609798336809	None	False
ESO26	amplicon5	BFB_1	GRB7	28.175612707228332	None	False
ESO26	amplicon5	BFB_1	IKZF3	28.175612707228332	None	False
ESO26	amplicon5	BFB_1	JUP	46.835720558828456	5p	True
ESO26	amplicon5	BFB_1	LASP1	25.029360904044786	None	True
ESO26	amplicon5	BFB_1	MIEN1	28.175612707228332	None	False
ESO26	amplicon5	BFB_1	MLLT6	15.848090800672637	None	True
ESO26	amplicon5	BFB_1	PCGF2	15.848090800672637	None	False
ESO26	amplicon5	BFB_1	PGAP3	28.175612707228332	None	False
ESO26	amplicon5	BFB_1	PIP4K2B	45.86855028567604	5p	False
ESO26	amplicon5	BFB_1	PNMT	28.175612707228332	None	False
ESO26	amplicon5	BFB_1	PPP1R1B	24.613121445308398	5p	False
ESO26	amplicon5	BFB_1	PSMB3	15.848090800672637	None	False
ESO26	amplicon5	BFB_1	RAPGEFL1	26.022319569914384	None	False
ESO26	amplicon5	BFB_1	RARA	1.8230638176424456	3p	True
ESO26	amplicon5	BFB_1	RARA-AS1	1.8230638176424456	None	False
ESO26	amplicon5	BFB_1	RPL23	25.029360904044786	None	True
ESO26	amplicon5	BFB_1	SNORA21	25.029360904044786	None	False
ESO26	amplicon5	BFB_1	SNORA21B	25.029360904044786	None	False
ESO26	amplicon5	BFB_1	SRCIN1	19.31439042151848	None	False
ESO26	amplicon5	BFB_1	STARD3	28.175612707228332	None	False
ESO26	amplicon5	BFB_1	TCAP	28.175612707228332	None	False
ESO26	amplicon5	BFB_1	WIPF2	26.022319569914384	None	False
ESO51	amplicon1	Complex non-cyclic_1	ASZ1	35.8253566918787	None	False
ESO51	amplicon1	Complex non-cyclic_1	BMT2	7.2910824458373265	None	False
ESO51	amplicon1	Complex non-cyclic_1	CAPZA2	35.8253566918787	None	False
ESO51	amplicon1	Complex non-cyclic_1	CAV1	35.8253566918787	None	True
ESO51	amplicon1	Complex non-cyclic_1	CAV2	27.569302966926927	None	False
ESO51	amplicon1	Complex non-cyclic_1	CFTR	35.8253566918787	None	False
ESO51	amplicon1	Complex non-cyclic_1	CFTR-AS1	35.8253566918787	None	False
ESO51	amplicon1	Complex non-cyclic_1	CTTNBP2	35.927973888235556	None	False
ESO51	amplicon1	Complex non-cyclic_1	DOCK4	5.051634148153433	None	False
ESO51	amplicon1	Complex non-cyclic_1	DOCK4-AS1	5.051634148153433	None	False
ESO51	amplicon1	Complex non-cyclic_1	FOXP2	8.946781678616881	None	False
ESO51	amplicon1	Complex non-cyclic_1	GPR85	8.741028788374422	None	False
ESO51	amplicon1	Complex non-cyclic_1	HRAT17	9.126785244017533	None	False
ESO51	amplicon1	Complex non-cyclic_1	IFRD1	5.051634148153433	None	False
ESO51	amplicon1	Complex non-cyclic_1	IMMP2L	5.051634148153433	3p	False
ESO51	amplicon1	Complex non-cyclic_1	LSMEM1	5.051634148153433	None	False
ESO51	amplicon1	Complex non-cyclic_1	MDFIC	23.34036179493673	None	False
ESO51	amplicon1	Complex non-cyclic_1	MET	35.8253566918787	None	True
ESO51	amplicon1	Complex non-cyclic_1	PPP1R3A	8.741028788374422	None	False
ESO51	amplicon1	Complex non-cyclic_1	SMIM30	8.741028788374422	None	False
ESO51	amplicon1	Complex non-cyclic_1	SNORA25B	23.34036179493673	None	False
ESO51	amplicon1	Complex non-cyclic_1	ST7	35.8253566918787	None	False
ESO51	amplicon1	Complex non-cyclic_1	ST7-AS1	35.8253566918787	None	False
ESO51	amplicon1	Complex non-cyclic_1	ST7-AS2	35.8253566918787	None	False
ESO51	amplicon1	Complex non-cyclic_1	ST7-OT3	35.8253566918787	None	False
ESO51	amplicon1	Complex non-cyclic_1	ST7-OT4	35.8253566918787	None	False
ESO51	amplicon1	Complex non-cyclic_1	TES	27.569302966926927	None	False
ESO51	amplicon1	Complex non-cyclic_1	TFEC	27.569302966926927	None	False
ESO51	amplicon1	Complex non-cyclic_1	TMEM168	7.2910824458373265	None	False
ESO51	amplicon1	Complex non-cyclic_1	WNT2	35.8253566918787	None	True
ESO51	amplicon1	Complex non-cyclic_1	ZNF277	5.051634148153433	None	False
ESO51	amplicon2	Linear amplification_1	ACAA1	5.426528901471921	None	False
ESO51	amplicon2	Linear amplification_1	ACVR2B	5.426528901471921	None	False
ESO51	amplicon2	Linear amplification_1	ACVR2B-AS1	5.426528901471921	None	False
ESO51	amplicon2	Linear amplification_1	CCR8	5.426528901471921	None	False
ESO51	amplicon2	Linear amplification_1	CSRNP1	5.426528901471921	None	False
ESO51	amplicon2	Linear amplification_1	CTDSPL	5.426528901471921	None	False
ESO51	amplicon2	Linear amplification_1	CX3CR1	5.426528901471921	None	False
ESO51	amplicon2	Linear amplification_1	DLEC1	5.426528901471921	None	False
ESO51	amplicon2	Linear amplification_1	EIF1B	5.426528901471921	None	False
ESO51	amplicon2	Linear amplification_1	EIF1B-AS1	5.426528901471921	None	False
ESO51	amplicon2	Linear amplification_1	ENTPD3	5.426528901471921	None	False
ESO51	amplicon2	Linear amplification_1	ENTPD3-AS1	5.426528901471921	None	False
ESO51	amplicon2	Linear amplification_1	EXOG	5.426528901471921	None	False
ESO51	amplicon2	Linear amplification_1	GORASP1	5.426528901471921	None	False
ESO51	amplicon2	Linear amplification_1	ITGA9	5.426528901471921	5p	False
ESO51	amplicon2	Linear amplification_1	ITGA9-AS1	5.426528901471921	3p	False
ESO51	amplicon2	Linear amplification_1	MOBP	5.426528901471921	None	False
ESO51	amplicon2	Linear amplification_1	MYD88	5.426528901471921	None	True
ESO51	amplicon2	Linear amplification_1	MYRIP	5.426528901471921	None	False
ESO51	amplicon2	Linear amplification_1	OXSR1	5.426528901471921	None	False
ESO51	amplicon2	Linear amplification_1	PLCD1	5.426528901471921	None	False
ESO51	amplicon2	Linear amplification_1	RPL14	5.426528901471921	None	False
ESO51	amplicon2	Linear amplification_1	RPSA	5.426528901471921	None	False
ESO51	amplicon2	Linear amplification_1	SCN10A	5.426528901471921	None	False
ESO51	amplicon2	Linear amplification_1	SCN11A	5.426528901471921	None	False
ESO51	amplicon2	Linear amplification_1	SCN5A	5.426528901471921	None	False
ESO51	amplicon2	Linear amplification_1	SLC22A13	5.426528901471921	None	False
ESO51	amplicon2	Linear amplification_1	SLC22A14	5.426528901471921	None	False
ESO51	amplicon2	Linear amplification_1	SLC25A38	5.426528901471921	None	False
ESO51	amplicon2	Linear amplification_1	SNORA6	5.426528901471921	None	False
ESO51	amplicon2	Linear amplification_1	SNORA62	5.426528901471921	None	False
ESO51	amplicon2	Linear amplification_1	TTC21A	5.426528901471921	None	False
ESO51	amplicon2	Linear amplification_1	VILL	5.426528901471921	None	False
ESO51	amplicon2	Linear amplification_1	WDR48	5.426528901471921	None	False
ESO51	amplicon2	Linear amplification_1	XIRP1	5.426528901471921	None	False
ESO51	amplicon2	Linear amplification_1	XYLB	5.426528901471921	None	False
ESO51	amplicon2	Linear amplification_1	ZNF619	5.426528901471921	None	False
ESO51	amplicon2	Linear amplification_1	ZNF620	5.426528901471921	None	False
ESO51	amplicon2	Linear amplification_1	ZNF621	5.426528901471921	None	False
ESO51	amplicon3	Complex non-cyclic_1	APOD	3.4951246618719	3p	False
ESO51	amplicon3	Complex non-cyclic_1	BDH1	4.76842721935183	3p	False
ESO51	amplicon3	Complex non-cyclic_1	CLPTM1L	6.729457048524936	None	False
ESO51	amplicon3	Complex non-cyclic_1	FYTTD1	4.8126057432209395	3p	False
ESO51	amplicon3	Complex non-cyclic_1	LPCAT1	6.729457048524936	None	False
ESO51	amplicon3	Complex non-cyclic_1	MUC20	8.605095296020275	None	False
ESO51	amplicon3	Complex non-cyclic_1	MUC4	21.343545889730226	None	True
ESO51	amplicon3	Complex non-cyclic_1	RUBCN	4.8126057432209395	None	False
ESO51	amplicon3	Complex non-cyclic_1	SDHAP1	7.047469608544014	None	False
ESO51	amplicon3	Complex non-cyclic_1	SDHAP2	7.318965234265494	None	False
ESO51	amplicon3	Complex non-cyclic_1	SDHAP3	5.914037651705899	None	False
ESO51	amplicon3	Complex non-cyclic_1	SLC6A3	6.729457048524936	None	False
ESO51	amplicon3	Complex non-cyclic_1	TERT	4.984460157874023	3p	True
ESO51	amplicon3	Complex non-cyclic_1	TFRC	3.9612215943061684	None	True
ESO51	amplicon3	Complex non-cyclic_1	TNK2	4.803970824423718	None	False
ESO51	amplicon3	Complex non-cyclic_1	TNK2-AS1	4.803970824423718	None	False
ESO51	amplicon4	ecDNA_1	LRRN3	7.217044195394679	None	False
ESO51	amplicon5	Complex non-cyclic_1	ARCN1	6.187012677720055	None	False
ESO51	amplicon5	Complex non-cyclic_1	ATP5MG	3.9713068479021887	None	False
ESO51	amplicon5	Complex non-cyclic_1	CHRNA6	8.686862999881015	None	False
ESO51	amplicon5	Complex non-cyclic_1	CHRNB3	8.357141677542211	None	False
ESO51	amplicon5	Complex non-cyclic_1	DDX6	3.3790003890612215	None	True
ESO51	amplicon5	Complex non-cyclic_1	FNTA	8.18018549944637	None	False
ESO51	amplicon5	Complex non-cyclic_1	HGSNAT	6.663838844209724	3p	False
ESO51	amplicon5	Complex non-cyclic_1	HOOK3	10.440365767531333	None	True
ESO51	amplicon5	Complex non-cyclic_1	IFT46	6.187012677720055	None	False
ESO51	amplicon5	Complex non-cyclic_1	KMT2A	6.187012677720055	None	False
ESO51	amplicon5	Complex non-cyclic_1	MYEOV	4.070422795490586	None	False
ESO51	amplicon5	Complex non-cyclic_1	PHLDB1	6.187012677720055	None	False
ESO51	amplicon5	Complex non-cyclic_1	POMK	8.18018549944637	None	False
ESO51	amplicon5	Complex non-cyclic_1	RNF170	18.314654798475086	None	False
ESO51	amplicon5	Complex non-cyclic_1	SMIM38	1.75894781833106	None	False
ESO51	amplicon5	Complex non-cyclic_1	THAP1	10.440365767531333	None	False
ESO51	amplicon5	Complex non-cyclic_1	TMEM25	6.187012677720055	None	False
ESO51	amplicon5	Complex non-cyclic_1	TREH	6.187012677720055	None	True
ESO51	amplicon5	Complex non-cyclic_1	TTC36	6.187012677720055	None	False
ESO51	amplicon6	BFB_1	CASC11	17.663883485497255	None	False
ESO51	amplicon6	BFB_1	CASC19	16.449140329744107	None	False
ESO51	amplicon6	BFB_1	CASC21	16.449140329744107	None	False
ESO51	amplicon6	BFB_1	CASC8	16.449140329744107	None	False
ESO51	amplicon6	BFB_1	CCAT1	16.449140329744107	None	False
ESO51	amplicon6	BFB_1	CCAT2	16.449140329744107	None	False
ESO51	amplicon6	BFB_1	MYC	17.663883485497255	None	True
ESO51	amplicon6	BFB_1	PCAT1	16.449140329744107	None	False
ESO51	amplicon6	BFB_1	PCAT2	16.449140329744107	None	False
ESO51	amplicon6	BFB_1	POU5F1B	16.449140329744107	None	False
ESO51	amplicon6	BFB_1	PRNCR1	16.449140329744107	None	False
ESO51	amplicon6	BFB_1	PVT1	17.663883485497255	None	True
ESO51	amplicon6	BFB_1	TMEM75	17.663883485497255	None	False
ESO51	amplicon7	Linear amplification_1	ACRV1	6.4181118749828885	None	False
