#chrom	start	end	cn	start_refined	end_refined
chr17	38320000	38419799	1.0883411061891057	False	True
chr17	38419800	38512799	20.142068333935576	True	True
chr17	38512800	38584199	16.28398503175612	True	True
chr17	38584200	38597999	19.221421173543206	True	True
chr17	38598000	38765699	15.844330985118827	True	True
chr17	38765700	38874899	29.445673261894136	True	True
chr17	38874900	38917499	17.110420922765364	True	True
chr17	38917500	38974799	13.604863662629578	True	True
chr17	38974800	39638099	1.0195169306196583	True	True
chr17	39638100	39849899	27.919986810393898	True	True
chr17	39849900	39920000	2.116732962103433	True	False
